year,season,transect,treatment,weight,sciname,sex,tickpres
2013,Summer,T1,Treated,15,shis,M,0
2013,Summer,T1,Treated,23,shis,M,0
2013,Summer,T1,Treated,12.5,rful,M,0
2013,Summer,T1,Treated,8,btay,M,0
2013,Summer,T1,Treated,10,btay,F,0
2013,Summer,T1,Treated,21,shis,F,0
2013,Summer,T2,Treated,11,btay,F,0
2013,Summer,T2,Treated,13,rful,M,0
2013,Summer,T2,Treated,31,chis,F,0
2013,Summer,T2,Treated,8,btay,M,0
2013,Summer,T2,Treated,8,btay,M,0
2013,Summer,T2,Treated,12.5,rful,M,0
2013,Summer,T2,Treated,12.5,rful,F,0
2013,Summer,T2,Treated,8,btay,M,0
2013,Summer,T1,Treated,7,btay,F,0
2013,Summer,T1,Treated,26,shis,M,0
2013,Summer,T1,Treated,66,shis,M,0
2013,Summer,T1,Treated,60,shis,F,0
2013,Summer,T1,Treated,15,rful,M,0
2013,Summer,T1,Treated,52,shis,F,0
2013,Summer,T1,Treated,20.5,shis,F,0
2013,Summer,T1,Treated,80,shis,M,0
2013,Summer,T1,Treated,82,shis,F,0
2013,Summer,T1,Treated,98,shis,M,0
2013,Summer,T1,Treated,76,shis,F,0
2013,Summer,T1,Treated,8,btay,M,0
2013,Summer,T1,Treated,8.5,btay,M,0
2013,Summer,T1,Treated,7.5,btay,M,0
2013,Summer,T1,Treated,10,btay,F,0
2013,Summer,T1,Treated,5.5,btay,F,0
2013,Summer,T1,Treated,4.5,btay,F,0
2013,Summer,T1,Treated,5,btay,F,0
2013,Summer,T1,Treated,11,rful,F,0
2013,Summer,T1,Treated,12,btay,F,0
2013,Summer,T1,Treated,9,btay,M,0
2013,Summer,T1,Treated,7.5,btay,F,0
2013,Summer,T1,Treated,8,btay,M,0
2013,Summer,T1,Treated,10,btay,F,0
2013,Summer,T1,Treated,8,btay,F,0
2013,Summer,T1,Treated,23,shis,M,0
2013,Summer,T1,Treated,115.5,shis,F,0
2013,Summer,T1,Treated,129,shis,F,0
2013,Summer,T1,Treated,17,shis,F,0
2013,Summer,T1,Treated,53,chis,M,0
2013,Summer,T2,Treated,9,btay,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,25,shis,F,0
2013,Summer,T2,Treated,12.5,chis,M,0
2013,Summer,T2,Treated,77,shis,F,0
2013,Summer,T2,Treated,9,rful,M,0
2013,Summer,T2,Treated,7,btay,F,0
2013,Summer,T2,Treated,9,btay,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,9,rful,F,0
2013,Summer,T2,Treated,80,shis,F,0
2013,Summer,T2,Treated,138.5,shis,F,0
2013,Summer,T2,Treated,45.5,shis,F,0
2013,Summer,T2,Treated,152,shis,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,7,btay,F,0
2013,Summer,T2,Treated,8.5,btay,F,0
2013,Summer,T2,Treated,7,rful,F,0
2013,Summer,T2,Treated,6.5,btay,M,0
2013,Summer,UT1,Untreated,8.5,btay,M,0
2013,Summer,UT1,Untreated,18,rful,M,0
2013,Summer,UT1,Untreated,5,btay,F,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,UT1,Untreated,9.5,btay,F,0
2013,Summer,UT1,Untreated,49.5,shis,F,0
2013,Summer,UT1,Untreated,6.5,btay,F,0
2013,Summer,UT1,Untreated,111,shis,M,0
2013,Summer,UT1,Untreated,109,shis,F,0
2013,Summer,UT1,Untreated,24.5,shis,F,0
2013,Summer,UT1,Untreated,25,shis,F,0
2013,Summer,UT1,Untreated,10,shis,F,0
2013,Summer,UT1,Untreated,22,shis,M,0
2013,Summer,UT1,Untreated,13,rful,M,0
2013,Summer,UT1,Untreated,76.5,shis,M,0
2013,Summer,UT1,Untreated,103,shis,F,0
2013,Summer,UT1,Untreated,95,shis,F,0
2013,Summer,UT1,Untreated,15,rful,M,0
2013,Summer,UT1,Untreated,103,shis,F,0
2013,Summer,UT1,Untreated,40,shis,F,0
2013,Summer,UT1,Untreated,107,shis,M,0
2013,Summer,UT1,Untreated,4,btay,F,0
2013,Summer,T2,Treated,75.5,shis,M,0
2013,Summer,T2,Treated,7,btay,F,0
2013,Summer,T2,Treated,34,shis,M,1
2013,Summer,T2,Treated,76,shis,F,0
2013,Summer,T2,Treated,9,btay,M,0
2013,Summer,T2,Treated,9.5,btay,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,7,btay,F,0
2013,Summer,T2,Treated,7.5,btay,M,0
2013,Summer,T2,Treated,107,shis,F,0
2013,Summer,T2,Treated,8.5,btay,F,0
2013,Summer,T2,Treated,7,btay,M,0
2013,Summer,T2,Treated,12,rful,M,0
2013,Summer,T2,Treated,7,btay,M,0
2013,Summer,T2,Treated,7.5,btay,F,0
2013,Summer,T2,Treated,192.5,shis,F,0
2013,Summer,T2,Treated,9.5,btay,F,0
2013,Summer,T2,Treated,7,btay,M,0
2013,Summer,T2,Treated,9,btay,F,0
2013,Summer,T2,Treated,10,rful,M,0
2013,Summer,T2,Treated,9.5,rful,F,0
2013,Summer,T2,Treated,12.5,rful,M,0
2013,Summer,T2,Treated,8,rful,F,0
2013,Summer,T2,Treated,9.5,btay,F,0
2013,Summer,T2,Treated,8.5,btay,F,0
2013,Summer,T2,Treated,67,shis,F,0
2013,Summer,UT1,Untreated,17,rful,F,0
2013,Summer,UT1,Untreated,14,rful,M,0
2013,Summer,UT1,Untreated,7,btay,F,0
2013,Summer,UT1,Untreated,7,btay,F,0
2013,Summer,UT1,Untreated,8,btay,M,0
2013,Summer,UT1,Untreated,6.5,btay,F,0
2013,Summer,UT1,Untreated,103,shis,F,0
2013,Summer,UT1,Untreated,197,shis,M,0
2013,Summer,UT1,Untreated,40,shis,F,0
2013,Summer,UT1,Untreated,7.5,btay,F,0
2013,Summer,UT1,Untreated,7.5,btay,F,0
2013,Summer,UT1,Untreated,38,shis,F,0
2013,Summer,UT1,Untreated,116,shis,F,0
2013,Summer,UT1,Untreated,104,shis,F,0
2013,Summer,UT1,Untreated,6,btay,F,0
2013,Summer,UT1,Untreated,5.5,btay,F,0
2013,Summer,UT1,Untreated,8.5,btay,F,0
2013,Summer,UT1,Untreated,7,btay,F,0
2013,Summer,UT1,Untreated,9,btay,F,0
2013,Summer,T1,Treated,8.5,btay,F,0
2013,Summer,T1,Treated,14,rful,M,0
2013,Summer,T1,Treated,176,shis,F,0
2013,Summer,T1,Treated,62.5,shis,F,0
2013,Summer,T1,Treated,7.5,btay,F,0
2013,Summer,T1,Treated,8.5,rful,F,0
2013,Summer,T1,Treated,10,rful,M,0
2013,Summer,T1,Treated,83,shis,F,0
2013,Summer,T1,Treated,74.5,shis,F,0
2013,Summer,T1,Treated,8,btay,F,0
2013,Summer,T1,Treated,52.5,shis,F,0
2013,Summer,T1,Treated,137,shis,F,0
2013,Summer,T1,Treated,72,shis,F,0
2013,Summer,T1,Treated,11,rful,M,0
2013,Summer,T1,Treated,10,rful,F,0
2013,Summer,T1,Treated,52,shis,F,0
2013,Summer,T1,Treated,57.5,shis,F,0
2013,Summer,T1,Treated,13.5,rful,M,0
2013,Summer,T1,Treated,8,btay,F,0
2013,Summer,T2,Treated,9,btay,F,0
2013,Summer,T2,Treated,9.5,btay,F,0
2013,Summer,T2,Treated,140,shis,F,0
2013,Summer,T2,Treated,82,shis,M,0
2013,Summer,T2,Treated,7.5,btay,M,0
2013,Summer,T2,Treated,61,shis,M,1
2013,Summer,T2,Treated,143,shis,M,1
2013,Summer,T2,Treated,59,shis,F,0
2013,Summer,T2,Treated,11,rful,M,0
2013,Summer,T2,Treated,7,btay,M,0
2013,Summer,T2,Treated,69.5,shis,F,0
2013,Summer,T2,Treated,7.5,btay,M,0
2013,Summer,T2,Treated,78,shis,F,1
2013,Summer,T2,Treated,7,btay,F,0
2013,Summer,T2,Treated,8,btay,M,0
2013,Summer,T2,Treated,8.5,btay,F,0
2013,Summer,T2,Treated,94.5,shis,F,0
2013,Summer,T2,Treated,8.5,btay,F,0
2013,Summer,T2,Treated,112,shis,F,0
2013,Summer,T2,Treated,7.5,btay,F,0
2013,Summer,T2,Treated,97,shis,F,0
2013,Summer,T2,Treated,27,chis,F,0
2013,Summer,T2,Treated,148,shis,F,0
2013,Summer,T2,Treated,99,shis,F,0
2013,Summer,T2,Treated,106.5,shis,F,0
2013,Summer,T2,Treated,72,shis,M,0
2013,Summer,T2,Treated,114,shis,F,0
2013,Summer,T2,Treated,44,chis,M,0
2013,Summer,T2,Treated,7,btay,M,0
2013,Summer,T2,Treated,8.5,btay,F,0
2013,Summer,T2,Treated,96,shis,F,0
2013,Summer,T2,Treated,102,shis,F,0
2013,Summer,T2,Treated,9,btay,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,7.5,btay,M,0
2013,Summer,T2,Treated,79,shis,M,0
2013,Summer,T2,Treated,141,shis,F,0
2013,Summer,T2,Treated,123.5,shis,F,0
2013,Summer,T2,Treated,128,shis,M,1
2013,Summer,T2,Treated,127.5,shis,F,0
2013,Summer,T2,Treated,66,shis,F,0
2013,Summer,T2,Treated,97,shis,F,0
2013,Summer,T2,Treated,36,shis,F,0
2013,Summer,T2,Treated,177,shis,M,1
2013,Summer,T2,Treated,96,shis,M,1
2013,Summer,T2,Treated,74.5,shis,F,0
2013,Summer,T2,Treated,100,shis,F,0
2013,Summer,T2,Treated,69.5,shis,M,0
2013,Summer,T2,Treated,106.5,shis,F,0
2013,Summer,T2,Treated,27,chis,F,0
2013,Summer,T2,Treated,130.5,shis,M,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,7.5,btay,F,0
2013,Summer,T2,Treated,7.5,btay,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,68.5,shis,M,1
2013,Summer,T2,Treated,181.5,shis,M,1
2013,Summer,T2,Treated,7,btay,F,0
2013,Summer,T2,Treated,7.5,btay,F,1
2013,Summer,T2,Treated,68.5,shis,F,0
2013,Summer,T2,Treated,9,btay,F,0
2013,Summer,T2,Treated,129,shis,F,0
2013,Summer,T2,Treated,8,btay,F,0
2013,Summer,T2,Treated,40,shis,F,0
2013,Summer,T2,Treated,74,shis,F,0
2013,Summer,T1,Treated,51.5,shis,M,1
2013,Summer,T1,Treated,55,shis,F,1
2013,Summer,T1,Treated,57,shis,F,0
2013,Summer,T1,Treated,5,btay,M,0
2013,Summer,T1,Treated,49,shis,F,0
2013,Summer,T1,Treated,161,shis,F,0
2013,Summer,T1,Treated,59.5,shis,F,0
2013,Summer,T1,Treated,8,btay,F,0
2013,Summer,T1,Treated,47.5,shis,F,0
2013,Summer,T1,Treated,8,rful,F,0
2013,Summer,T1,Treated,9,btay,F,0
2013,Summer,T1,Treated,12,rful,M,0
2013,Summer,T1,Treated,10.5,rful,M,0
2013,Summer,T1,Treated,54,shis,M,0
2013,Summer,T1,Treated,75,shis,M,0
2013,Summer,T1,Treated,73,shis,M,0
2013,Summer,T1,Treated,7.5,btay,F,1
2013,Summer,T1,Treated,53,shis,F,1
2013,Summer,T1,Treated,57.5,shis,F,1
2013,Summer,T1,Treated,7,btay,M,0
2013,Summer,T1,Treated,14,rful,M,0
2013,Summer,T1,Treated,72,shis,F,0
2013,Summer,T1,Treated,4.5,btay,F,0
2013,Summer,T1,Treated,7.5,btay,M,0
2013,Summer,T1,Treated,58,shis,M,0
2013,Summer,T1,Treated,70,shis,M,0
2013,Summer,T1,Treated,125,shis,F,0
2013,Summer,UT1,Untreated,7.5,btay,M,0
2013,Summer,UT1,Untreated,10,btay,F,0
